Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,class_weight,epochs,initial_epoch,max_queue_size,opt_amsgrad,opt_beta_1,opt_beta_2,opt_decay,opt_epsilon,opt_learning_rate,opt_name,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,accuracy,loss,val_accuracy,val_loss
2023-05-22 19:31:57,2.5min,6e1d5dd23f0e40e7b29ceeb1070d0d75,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3390875458717346,1.3703012466430664,0.2657807171344757,1.3967126607894897
2023-05-22 19:28:21,2.8min,3151045c32c245a690ee7d8eb18cf7db,,LOCAL,train_model_ResNet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.41738593578338623,1.5052316188812256,0.38205981254577637,1.4848591089248657
2023-05-22 19:24:13,3.1min,b15bb701dde34d4a8373cd26df7cf5bb,,LOCAL,train_model_inception.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.35727497935295105,1.6590083837509155,0.41528239846229553,1.5756242275238037
2023-05-22 19:19:47,3.2min,f59548cfc5e749be9cf62dbe8723ecec,,LOCAL,train_model_densenet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3884093761444092,1.490906834602356,0.3322259187698364,1.4888665676116943
2023-05-22 19:19:26,7.7s,2f139f117d2b46d89df495fde1fea1ea,,LOCAL,train_model_inception.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 16:56:48,2.7min,96ac3475dc5f4b9e9a50f9f1666ec199,,LOCAL,train_model_vgg.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.3409371078014374,1.4386630058288574,0.27906978130340576,1.469860553741455
2023-05-22 16:54:08,2.5min,e251b601fdc64989b520071428c5d8b8,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.33816275000572205,1.364311695098877,0.2657807171344757,1.396972894668579
2023-05-22 16:50:48,2.9min,4ce22aa582fa44bda993df550504a8a0,,LOCAL,train_model_ResNet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.42478421330451965,1.5064963102340698,0.3887043297290802,1.5117589235305786
2023-05-22 16:46:23,3.3min,2be6b74b5794479e9410982f93604ed8,,LOCAL,train_model_densenet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.37145498394966125,1.495639443397522,0.3089700937271118,1.4963914155960083
2023-05-22 16:39:07,3.4min,0d6237ffd3a84dd487d1da5a03c0ba9c,,LOCAL,train_model_densenet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.370838463306427,1.491542100906372,0.2823920249938965,1.5186023712158203
2023-05-22 16:35:37,17.8s,91b596306d34496f8bb6352ea78e20d7,,LOCAL,train_model_densenet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 16:35:00,17.2s,83fac38924384c70846b4b2a8c82491f,,LOCAL,train_model_densenet.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 16:28:38,11.9s,50d108dbbd6a464396f6e986dbd16047,,LOCAL,train_model_densenet.py,marvin,FAILED,32,None,2,0,10,,,,,,,,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:39:57,2.9min,df9eb0c97a2c46c98073985a0b3620f6,,LOCAL,train_model_ResNet.py,marvin,FINISHED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.40813809633255005,1.5263729095458984,0.4451827108860016,1.4753230810165405
2023-05-22 15:39:26,11.6s,42f8aa80567c4f98ab9a1b8bd5c4e277,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,50,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:37:47,4.7s,50610e4a65f8447f9826bc630fecd9b0,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,50,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:36:44,4.7s,4d4c8759a7bb4ae8894f57b3b6b3ceaf,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,50,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:35:40,4.7s,5adc654913454ec4a9cf4cd722ee55f2,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,50,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:35:19,2.9s,8b76d65da650422782eb7a16c8c2c47b,,LOCAL,train_model_self.py,marvin,FAILED,32,None,3,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 15:34:55,3.1s,7d40a664ac7b4d1fa4a1ccd799de2c40,,LOCAL,train_model_self.py,marvin,FAILED,32,None,3,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-22 03:08:33,1.5min,6330a371541047a48ffb9e12f480a2a2,,LOCAL,train_model_self.py,marvin,FINISHED,32,None,1,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.32521578669548035,1.4015058279037476,0.27242523431777954,1.3889319896697998
2023-05-21 23:49:47,2.7min,b1ab6ecc8ea7419c851fb3869fd42dbd,,LOCAL,train_model_vgg.py,marvin,FAILED,32,None,50,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.31011098623275757,1.6193252801895142,0.2823920249938965,1.499962329864502
